snapshot,CCGT,OCGT,coal,geothermal,oil,onwind,ror,solar,hydro
2013-02-04 23:00:00,6604.2033445861425,95.1576821998383,20284.147570916095,2173.999758500942,69.73021537369678,5.774126317769836,2109.696541215881,2.7644592258075344,1517.9996896463808
2013-02-05 00:00:00,6604.203539622028,101.80436821222916,22473.80452056152,2173.9997629263376,69.73022782422828,5.2071995294744555,2109.6965511322182,15.858377193327842,1517.9996911591106
2013-02-05 01:00:00,6635.7015636296765,150.38526836598822,24959.30082277943,2173.9997649750167,69.73023284608485,4.414879814956995,2109.696558894136,34.96689624894854,1517.9996952502556
2013-02-05 02:00:00,6660.785181900259,223.1772424031029,26342.403540240408,2173.9997655424713,69.7302336738005,4.227848901653027,2109.696560653554,54.29762567213917,1517.9996955862166
2013-02-05 03:00:00,6655.199800218823,204.820904092191,26028.375925570675,2173.999765307849,69.73023347207274,4.161119387091824,2109.696559884343,66.2769926694952,1517.9996949335534
2013-02-05 04:00:00,6655.188907120841,204.1835090681807,26024.207377770676,2173.9997652892503,69.73023364632469,4.309057936034669,2109.6965598801467,75.59288906962148,1517.9996948484202
2013-02-05 05:00:00,6655.297918027115,204.56291717775875,26027.283213042774,2173.999765325285,69.73023367204759,4.216846605158275,2109.6965600494605,78.15621773588323,1517.999695208313
2013-02-05 06:00:00,6656.9721734447385,209.1867755375365,26120.589267438674,2173.9997653761907,69.73023372305109,4.560225899709247,2109.6965599165005,76.60367614658297,1517.999695175714
2013-02-05 07:00:00,6654.593800719874,203.12391372430045,25992.796667834777,2173.9997653587247,69.73023366723584,5.569546119452601,2109.696559806291,66.28782880238278,1517.9996949649196
2013-02-05 08:00:00,6649.344705905438,188.41175713313072,25707.7134757574,2173.9997651936023,69.73023332303833,6.9681999571123034,2109.696558730665,50.49463450617088,1517.9996940834167
2013-02-05 09:00:00,6650.679521244338,193.82245295251857,25784.20712180582,2173.9997652835573,69.73023337771629,7.802887278786937,2109.696559532702,34.2379758940718,1517.9996949114616
2013-02-05 10:00:00,6642.345855194458,170.96209365145444,25327.861426679363,2173.999765147116,69.73023325847372,10.392334521241043,2109.6965587586033,14.557541397076285,1517.9996951024898
2013-02-05 11:00:00,6702.996456374267,351.76866675820173,28689.136011288872,2173.9997652676034,69.73023167050151,11.65313469293251,2109.696558530311,1.9679057313805541,1517.9996956213308
2013-02-05 12:00:00,6702.994867529207,351.266040040265,28691.06319350603,2173.9997620131285,69.73021818102202,12.094920806712995,2109.696552464787,0.0,1517.9996948429018
2013-02-05 13:00:00,6701.480975859384,346.40706554463713,28607.22859328116,2173.999761990518,69.73021800534057,11.530754618563117,2109.6965516516148,0.0,1517.9996949663405
2013-02-05 14:00:00,6618.570535316588,107.04981893096631,24080.753950938783,2173.999760277474,69.730223345481,10.901128623791863,2109.6965407696757,0.0,1517.9996922331839
2013-02-05 15:00:00,6604.203396233399,97.01363484408088,20869.906777733682,2173.999758407222,69.73021728580142,9.712350939594721,2109.6965390635787,0.0,1517.9996918176728
2013-02-05 16:00:00,6604.203216087625,84.26479940554165,16772.734685962405,2173.9997554962383,69.73020916880327,9.271299211667872,2109.696533457056,0.0,1517.9996897633155
2013-02-05 17:00:00,6604.203112515145,75.96294268781827,14104.821968959024,2173.999749172909,69.73020535619953,8.203283502202607,2109.69652689817,0.0,1517.9996874767724
2013-02-05 18:00:00,6604.203087968275,74.22799724720844,13547.180983398297,2173.9997476802882,69.73020611804587,7.60385386482882,2109.6965255811256,0.0,1517.9996874789003
2013-02-05 19:00:00,6604.20314183602,77.19612958139246,14500.892594909103,2173.9997509360987,69.73020664807018,7.34112893000589,2109.6965296191725,0.0,1517.9996897747963
2013-02-05 20:00:00,6604.203153851922,77.87271153818921,14718.45545776948,2173.9997519598537,69.7302072651677,6.999406196585659,2109.6965297570728,0.0,1517.9996897084984
2013-02-05 21:00:00,6604.203252738063,85.15357508803082,17058.663007233743,2173.9997574052372,69.73021052748452,6.371189283613149,2109.6965360026734,0.0,1517.9996920452495
2013-02-05 22:00:00,6604.203389972405,95.27385433903923,20311.573676797605,2173.999758515929,69.73021681356751,6.080666707364111,2109.6965387506343,0.251995,1517.999691590228
2013-02-05 23:00:00,6604.203401484363,95.755250891624,20474.35378862049,2173.9997586136446,69.73021750493365,5.850620315455373,2109.696541429028,2.9486217455735044,1517.999691828876
2013-02-06 00:00:00,6604.203548013115,102.42643630219554,22677.983501874114,2173.9997629054924,69.73022783554748,5.118209325882092,2109.6965509232327,15.159608281200397,1517.9996910501457
2013-02-06 01:00:00,6638.1578400071085,158.3776074908561,25096.324688375895,2173.9997647961354,69.73023289786111,4.383954860830406,2109.696558082061,32.94226518708059,1517.9996948435387
2013-02-06 02:00:00,6658.506747281677,217.34512280390635,26216.936694868025,2173.9997653241103,69.73023360350096,3.6019991259364255,2109.6965593814916,51.37418762443509,1517.9996950327916
2013-02-06 03:00:00,6655.182812260281,206.654971772404,26029.699887567884,2173.9997652966936,69.73023370546929,2.8819895113010574,2109.6965594567023,63.441282714209436,1517.9996949495808
2013-02-06 04:00:00,6655.195909844831,204.84886744286922,26024.3301748479,2173.9997652840557,69.73023367161628,2.7859120339473704,2109.6965598395946,75.12145849974058,1517.9996949545357
2013-02-06 05:00:00,6655.5516549038675,205.4477343607833,26044.508488471813,2173.999765269852,69.73023349051161,3.0563097804216963,2109.696559903925,75.83654144770414,1517.9996949453164
2013-02-06 06:00:00,6654.830863288691,203.76362311008458,26003.884286325418,2173.999765251835,69.73023345751953,3.0184792141628747,2109.696559655923,71.56139421260076,1517.999694937543
2013-02-06 07:00:00,6653.37798710248,199.59056319669904,25923.85799808042,2173.9997652123793,69.73023340366598,2.9488858857081968,2109.6965594205803,65.68746721064375,1517.9996944827892
2013-02-06 08:00:00,6647.267564645168,182.77901915703865,25589.696282191693,2173.99976505949,69.73023322891427,2.7813141887535813,2109.696559345561,50.40656054248022,1517.999694613749
2013-02-06 09:00:00,6647.402305664424,185.1460476048492,25600.272419486264,2173.999765059938,69.73023320810131,2.2425965177059104,2109.696559586683,34.126342997459915,1517.9996949913525
2013-02-06 10:00:00,6642.364807928484,172.10489346699526,25325.38756303787,2173.999764959752,69.73023313508088,3.1870272501411647,2109.696558316244,15.840370213567702,1517.9996944130307
2013-02-06 11:00:00,6703.001085757607,353.5176087925488,28687.94001367119,2173.999765970851,69.73023110361706,2.602244555795578,2109.6965562665655,2.3876359264990468,1517.9996954596506
2013-02-06 12:00:00,6703.397657672449,354.7491778994875,28712.574215519726,2173.999761222993,69.73021642630162,2.1202835874634443,2109.696547239339,0.004692581277492399,1517.9996910164298
2013-02-06 13:00:00,6701.486066460878,348.8339886023254,28606.35422512274,2173.999761358121,69.73021662023353,2.6368960770841525,2109.696547099933,0.0,1517.9996915997906
2013-02-06 14:00:00,6616.494640193905,106.66678151672058,23960.989989031023,2173.9997606634215,69.73022250737563,3.4392400042222757,2109.69654060762,0.0,1517.9996918513978
2013-02-06 15:00:00,6604.203412434141,97.95586400486175,21173.746114503138,2173.999759183553,69.73021769400393,3.795946641098085,2109.696538950671,0.0,1517.9996918411514
2013-02-06 16:00:00,6604.203215307275,84.51520266601142,16854.730478594185,2173.9997558581777,69.73020877377206,3.4973244122581595,2109.696532143757,0.0,1517.99968959862
2013-02-06 17:00:00,6604.203091678648,75.82242170078302,14061.985509590582,2173.999748210074,69.73020405938031,2.640445881815258,2109.6965230455035,0.0,1517.9996860942783
2013-02-06 18:00:00,6604.203080101341,74.22799698692623,13550.308318626696,2173.9997468211222,69.73020542479496,1.7542785357533996,2109.6965232946595,0.0,1517.9996857843
2013-02-06 19:00:00,6604.203128859651,77.1961293578179,14504.127521994242,2173.999750083264,69.73020599896036,1.5120857754827124,2109.6965268813897,0.0,1517.9996872498018
2013-02-06 20:00:00,6604.20313209161,77.26322693216035,14525.654753867335,2173.9997501706725,69.73020609457906,1.430261722013301,2109.696526505446,0.0,1517.999687037423
2013-02-06 21:00:00,6604.203224359313,84.54408853956649,16865.488251217143,2173.999755924005,69.73020952363657,1.3916306585561276,2109.696532483747,0.0,1517.9996892150978
2013-02-06 22:00:00,6604.203385978481,94.93066545240045,20202.777061848967,2173.9997585895894,69.73021667924677,2.7283651997359177,2109.6965381822624,0.212979,1517.999691376818
2013-02-06 23:00:00,6604.203398406931,95.16009044264324,20284.676116377326,2173.99975845429,69.73021727316306,2.036539001852432,2109.696540739884,2.525761930817513,1517.9996909482174
2013-02-07 00:00:00,6604.2035373294,101.81762361099133,22475.473457816937,2173.999762858845,69.73022752795688,1.589637990263624,2109.6965506175893,14.707293329726449,1517.9996905915968
2013-02-07 01:00:00,6635.691119411236,151.17558899615761,24959.806257715325,2173.9997648924564,69.7302328403696,1.026150723835538,2109.6965585902817,34.77618503450523,1517.9996947230786
2013-02-07 02:00:00,6657.494527644563,214.1984532500074,26160.012225472456,2173.9997654606395,69.7302336395723,0.3515976164925767,2109.696560191148,54.24993796138009,1517.999695636995
2013-02-07 03:00:00,6655.171170884148,205.15487797375476,26026.624928903595,2173.9997654461986,69.73023375336749,0.5472784843513065,2109.696560199593,69.17019322253697,1517.9996950909788
2013-02-07 04:00:00,6655.197292983059,204.39546969710833,26022.367027825625,2173.999765443744,69.7302337396097,0.8202082093403952,2109.696560095615,78.13169106557243,1517.9996949923548
2013-02-07 05:00:00,6655.275023167922,204.24152690059398,26027.47028174376,2173.9997654278272,69.73023372957867,1.2299048859879165,2109.6965598342153,78.81319344675515,1517.9996947333093
2013-02-07 06:00:00,6653.329491412969,198.68441752350134,25916.645124143382,2173.9997653727196,69.73023366841872,1.500390243287858,2109.6965597146896,77.66731668226751,1517.9996947325808
2013-02-07 07:00:00,6654.872295682046,204.70498419516994,26005.54202666983,2173.9997653033665,69.73023581655063,1.791659631222481,2109.6965589331007,68.76498420255872,1517.9996943620836
2013-02-07 08:00:00,6650.545325267365,193.665377964028,25769.655695439604,2173.999765145905,69.7302356652308,1.8883198595963195,2109.6965588215007,54.196870205741554,1517.9996943852989
2013-02-07 09:00:00,6647.36784467685,185.60733719932054,25598.236086952544,2173.999765055193,69.7302355711816,1.69161298681678,2109.69655862456,37.31790901093188,1517.9996945069138
2013-02-07 10:00:00,6644.967374376476,180.2984468170126,25469.285698180673,2173.999765158351,69.73023356062038,1.4239952824274553,2109.696559458939,17.68039077599058,1517.999695244102
2013-02-07 11:00:00,6703.001083583522,353.65357057298667,28688.30307233055,2173.9997661002253,69.73023289007693,1.4445783599442992,2109.6965601994507,2.62362487075134,1517.9996958224192
2013-02-07 12:00:00,6703.00101151891,353.6536131929124,28690.714235212316,2173.9997622608976,69.7302175095886,0.8950577043049016,2109.696550364143,0.0,1517.999694012107
2013-02-07 13:00:00,6701.486094229987,349.15384439117634,28606.863606398438,2173.9997622239753,69.73021794418939,0.8169770294314161,2109.6965501636455,0.0,1517.9996943046106
2013-02-07 14:00:00,6616.423748165249,106.65372516552968,23958.39194316005,2173.9997605315875,69.73022373327878,0.739665317173892,2109.6965413077346,0.0,1517.9996928192234
2013-02-07 15:00:00,6604.203402123932,96.21730246664438,20616.798323874114,2173.99975885163,69.73021748818707,0.7928438947241372,2109.696538502188,0.0,1517.99969190792
2013-02-07 16:00:00,6604.203226991053,84.26479928938069,16775.759164750176,2173.999755939843,69.73020978767319,0.6921605101324444,2109.6965327129856,0.0,1517.9996901991706
2013-02-07 17:00:00,6604.203116960181,75.96294206665998,14107.795638596068,2173.9997490969154,69.7302056753201,0.7603625988693477,2109.6965252930595,0.0,1517.9996872679835
2013-02-07 18:00:00,6604.203087794244,74.22799691324074,13550.10805576699,2173.9997473245176,69.73020630906969,0.9039322501471084,2109.6965234102713,0.0,1517.9996866613722
2013-02-07 19:00:00,6604.203141883129,77.19612961319696,14503.780585648661,2173.99975045719,69.7302067496798,1.07369619401698,2109.6965270327228,0.0,1517.9996880409406
2013-02-07 20:00:00,6604.2031427633,77.2632276097997,14525.266032966138,2173.99975053582,69.73020681714941,1.1510029009978466,2109.6965274588265,0.0,1517.9996879310183
2013-02-07 21:00:00,6604.203233553703,84.5440889451535,16865.104338633297,2173.9997564843857,69.73021009015108,1.1006093605090566,2109.6965332637874,0.0,1517.9996902432224
2013-02-07 22:00:00,6604.203389354096,94.93066575841236,20203.33322464433,2173.99975853925,69.7302168751931,0.7054590587324766,2109.69653847309,0.339141,1517.9996919041707
2013-02-07 23:00:00,6604.2033839098485,95.16130521980412,20284.889107795327,2173.999758399715,69.73021671467602,0.5893328923784267,2109.6965408730225,2.9361921004634017,1517.9996907817902
2013-02-08 00:00:00,6604.203538606434,101.6176209817508,22404.868479345696,2173.9997627465777,69.73022750698827,0.5011311849160439,2109.6965505720705,16.614213655730563,1517.999690814343
2013-02-08 01:00:00,6638.170564589603,157.65646792767708,25094.92512401324,2173.999764862392,69.73023289334886,0.5910363855336848,2109.6965585130156,37.324278057708945,1517.999695387907
2013-02-08 02:00:00,6657.4948442142595,213.1140319319951,26158.844045304777,2173.999765403111,69.73023362279316,0.8137871528998665,2109.6965600096387,56.90921177331373,1517.9996954865603
2013-02-08 03:00:00,6655.173316356232,204.4686915531917,26024.04988723717,2173.9997653467144,69.73023354333493,0.9177187694351014,2109.6965598620504,73.22674996320647,1517.9996951376593
2013-02-08 04:00:00,6655.206315320447,203.5807667632303,26021.025010959052,2173.9997653445803,69.7302335278154,0.897531553451124,2109.69655985907,82.16982747390122,1517.9996949951594
